NO_OF_FRAMES	2516
NO_OF_CAMERAS	12
NO_OF_MARKERS	9
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-03-02, 12:43:11.835	705197.54193160
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5	Origin - 1	Origin - 2	Origin - 3	Origin - 4
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	Origin - 1 X	Origin - 1 Y	Origin - 1 Z	Origin - 2 X	Origin - 2 Y	Origin - 2 Z	Origin - 3 X	Origin - 3 Y	Origin - 3 Z	Origin - 4 X	Origin - 4 Y	Origin - 4 Z	
3563	35.62000	547.240	2193.390	205.495	618.252	2119.361	192.864	625.251	2193.333	191.451	567.786	2102.683	207.251	602.704	2158.949	233.120	10.516	374.886	48.760	574.453	10.276	48.728	209.512	10.329	48.910	9.875	9.837	48.874
3564	35.63000	547.223	2193.383	205.544	618.203	2119.302	192.859	625.231	2193.330	191.504	567.845	2102.614	207.168	602.707	2158.852	233.183	10.535	374.891	48.731	574.492	10.277	48.748	209.447	10.290	48.914	9.877	9.831	48.853
3565	35.64000	547.238	2193.509	205.502	618.260	2119.363	193.079	625.286	2193.336	191.407	567.867	2102.662	207.338	602.752	2158.945	233.188	10.501	374.880	48.747	574.475	10.255	48.700	209.464	10.300	48.902	9.859	9.856	48.863
3566	35.65000	547.155	2193.356	205.459	618.196	2119.328	192.852	625.236	2193.292	191.509	567.796	2102.605	207.145	602.664	2158.841	233.153	10.517	374.875	48.836	574.438	10.214	48.693	209.451	10.294	48.905	9.887	9.813	48.838
3567	35.66000	547.183	2193.450	205.472	618.229	2119.336	192.884	625.230	2193.344	191.494	567.732	2102.563	207.303	602.785	2158.958	233.252	10.521	375.004	48.780	574.427	10.301	48.733	209.489	10.316	48.905	9.865	9.856	48.855
3568	35.67000	547.296	2193.412	205.536	618.176	2119.300	192.878	625.260	2193.317	191.534	567.841	2102.606	207.229	602.785	2158.924	233.225	10.521	374.869	48.771	574.485	10.299	48.732	209.483	10.302	48.949	9.878	9.863	48.895
3569	35.68000	547.179	2193.446	205.501	618.088	2119.276	192.866	625.215	2193.309	191.523	567.661	2102.678	207.186	602.751	2158.908	233.222	10.559	374.952	48.803	574.424	10.292	48.715	209.471	10.348	48.915	9.909	9.840	48.844
3570	35.69000	547.311	2193.399	205.534	618.159	2119.282	192.832	625.279	2193.336	191.504	567.798	2102.648	207.340	602.777	2158.866	233.186	10.558	374.893	48.803	574.481	10.244	48.769	209.491	10.334	48.924	9.873	9.838	48.865
3571	35.70000	547.171	2193.434	205.427	618.010	2119.306	192.872	625.240	2193.253	191.496	567.670	2102.663	207.184	602.592	2158.850	233.170	10.519	374.925	48.789	574.434	10.254	48.742	209.476	10.344	48.982	9.893	9.831	48.887
3572	35.71000	547.191	2193.390	205.514	618.061	2119.273	192.830	625.245	2193.298	191.459	567.701	2102.649	207.245	602.732	2158.855	233.230	10.501	374.865	48.784	574.444	10.277	48.764	209.481	10.332	48.911	9.868	9.839	48.842
