NO_OF_FRAMES	5019
NO_OF_CAMERAS	12
NO_OF_MARKERS	9
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-03-02, 12:21:16.174	703881.88170780
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5	Origin - 1	Origin - 2	Origin - 3	Origin - 4
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	Origin - 1 X	Origin - 1 Y	Origin - 1 Z	Origin - 2 X	Origin - 2 Y	Origin - 2 Z	Origin - 3 X	Origin - 3 Y	Origin - 3 Z	Origin - 4 X	Origin - 4 Y	Origin - 4 Z	
1049	10.48000	1028.198	3893.898	201.082	1070.083	3811.169	203.343	1114.350	3839.460	188.780	1105.761	3913.067	185.093	1091.703	3874.394	228.191	209.543	10.262	49.043	10.603	374.947	48.855	9.992	9.853	48.952	574.495	9.924	48.983
1050	10.49000	1028.150	3893.848	201.195	1069.993	3811.163	203.221	1114.122	3839.506	188.847	1105.715	3913.043	185.170	1091.855	3874.293	228.259	209.512	10.224	49.042	10.630	374.952	48.884	10.038	9.799	48.975	574.515	9.932	48.943
1051	10.50000	1028.084	3893.848	201.298	1069.783	3811.221	203.298	1114.156	3839.482	188.870	1105.884	3913.105	185.231	1091.845	3874.293	228.234	209.512	10.217	49.014	10.650	374.928	48.881	10.003	9.839	48.920	574.471	9.960	48.945
1052	10.51000	1028.148	3893.918	201.446	1069.701	3811.225	203.330	1114.092	3839.628	189.015	1105.836	3913.033	185.439	1091.644	3874.233	228.431	209.504	10.232	49.032	10.645	374.922	48.904	9.997	9.897	48.961	574.509	9.961	48.964
1053	10.52000	1028.103	3893.929	201.400	1069.794	3811.278	203.504	1114.147	3839.667	189.130	1105.938	3913.177	185.439	1091.518	3874.280	228.411	209.510	10.258	49.056	10.623	375.014	48.931	10.017	9.874	48.978	574.495	10.004	48.997
1054	10.53000	1028.139	3894.207	201.505	1069.865	3811.464	203.853	1114.245	3839.820	189.315	1105.499	3913.313	185.854	1091.517	3874.736	228.646	209.521	10.270	49.063	10.634	374.971	48.931	9.987	9.855	48.958	574.478	9.987	48.995
1055	10.54000	1028.206	3894.406	201.650	1069.876	3811.674	204.167	1114.254	3839.850	189.393	1105.689	3913.562	185.742	1091.549	3874.905	228.748	209.500	10.261	49.083	10.590	374.992	48.895	9.971	9.895	48.986	574.468	9.959	48.960
1056	10.55000	1028.373	3894.294	201.839	1069.962	3811.546	204.073	1114.274	3839.909	189.439	1105.322	3913.429	186.051	1091.723	3874.612	228.836	209.495	10.238	49.048	10.623	374.922	48.867	9.999	9.887	48.996	574.469	9.907	49.012
1057	10.56000	1028.380	3894.375	201.883	1069.833	3811.669	204.191	1114.022	3839.947	189.389	1105.600	3913.640	185.810	1091.486	3874.710	228.686	209.478	10.254	49.040	10.650	374.970	48.876	9.998	9.876	49.003	574.467	9.978	48.976
1058	10.57000	1027.919	3894.516	201.642	1069.531	3811.807	204.246	1113.916	3840.136	189.473	1105.488	3913.785	185.790	1091.393	3875.066	228.827	209.524	10.209	49.089	10.655	374.933	48.852	10.011	9.871	48.964	574.544	9.972	48.975
