NO_OF_FRAMES	1863
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 11:28:35.207	1213728.58984590
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	
3692	36.91000	-225.781	-741.687	973.615	-265.375	-678.770	973.484	-163.142	-693.511	985.654	-214.621	-636.184	985.809	-228.570	-701.062	1014.542
3693	36.92000	-225.842	-741.377	973.559	-265.530	-678.380	973.545	-163.593	-693.345	985.725	-214.684	-635.929	985.949	-228.702	-700.817	1014.551
3694	36.93000	-226.006	-741.109	973.583	-265.597	-678.119	973.617	-163.768	-692.996	985.846	-214.686	-635.511	985.832	-228.762	-700.517	1014.581
3695	36.94000	-226.129	-740.774	973.653	-265.628	-677.766	973.577	-163.497	-692.587	985.706	-214.635	-635.176	985.723	-228.650	-700.003	1014.597
3696	36.95000	-226.135	-740.265	973.681	-265.651	-677.292	973.611	-163.842	-692.261	985.728	-214.622	-634.710	985.708	-228.688	-699.545	1014.513
3697	36.96000	-226.293	-739.897	973.514	-265.741	-676.971	973.774	-163.898	-691.961	985.733	-214.782	-634.300	985.799	-228.877	-699.256	1014.619
3698	36.97000	-226.392	-739.365	973.516	-265.849	-676.482	973.708	-163.895	-691.570	985.623	-214.925	-634.058	986.067	-228.897	-699.067	1014.544
3699	36.98000	-226.335	-739.037	973.541	-265.912	-676.059	973.864	-163.917	-691.073	985.599	-214.967	-633.544	985.939	-229.110	-698.580	1014.614
3700	36.99000	-226.499	-738.664	973.757	-265.968	-675.423	973.786	-164.002	-690.723	985.668	-214.911	-633.076	985.943	-228.997	-698.154	1014.614
3701	37.00000	-226.512	-738.234	973.596	-265.993	-675.061	973.810	-164.132	-690.279	985.674	-214.745	-632.620	985.843	-228.866	-697.577	1014.556
3702	37.01000	-226.548	-737.674	973.460	-265.979	-674.584	973.936	-164.152	-689.920	985.711	-214.809	-632.087	985.794	-229.004	-697.167	1014.545
3703	37.02000	-226.785	-737.059	973.767	-266.011	-674.140	973.881	-164.067	-689.517	985.604	-214.885	-631.756	985.955	-228.908	-696.791	1014.567
3704	37.03000	-226.691	-736.532	973.736	-266.009	-673.731	973.935	-164.074	-689.014	985.612	-214.831	-631.254	985.982	-229.023	-696.193	1014.693
3705	37.04000	-226.612	-736.090	973.815	-265.959	-673.271	974.054	-164.008	-688.428	985.525	-214.999	-630.738	985.944	-229.166	-695.780	1014.814
3706	37.05000	-226.718	-735.635	973.759	-266.026	-672.579	974.064	-164.009	-688.063	985.544	-214.874	-630.390	986.000	-228.897	-695.462	1014.762
3707	37.06000	-226.702	-735.239	973.546	-266.010	-672.211	974.429	-164.050	-687.573	985.513	-214.632	-630.049	986.031	-229.004	-695.098	1014.894
3708	37.07000	-226.724	-734.791	973.783	-265.993	-671.589	974.307	-164.071	-687.125	985.545	-214.685	-629.585	986.374	-228.866	-694.649	1014.825
3709	37.08000	-226.698	-734.190	973.823	-265.935	-671.025	974.361	-163.947	-686.732	985.609	-214.528	-628.975	986.262	-228.793	-693.975	1014.938
3710	37.09000	-226.561	-733.691	973.734	-265.890	-670.695	974.450	-163.825	-686.326	985.582	-214.696	-628.469	986.487	-228.823	-693.502	1014.915
3711	37.10000	-226.543	-733.194	973.425	-265.871	-670.221	974.443	-163.727	-685.938	985.439	-214.717	-627.987	986.843	-228.947	-693.206	1014.966
3712	37.11000	-226.901	-732.745	973.430	-266.142	-669.819	974.565	-163.741	-685.443	985.436	-214.595	-627.563	986.981	-228.781	-692.900	1014.985
3713	37.12000	-226.508	-732.337	973.599	-265.633	-669.316	974.597	-163.833	-684.834	985.566	-214.254	-627.228	987.011	-228.511	-692.450	1014.994
3714	37.13000	-226.336	-731.858	973.651	-265.507	-668.777	974.846	-163.726	-684.430	985.900	-214.087	-626.653	986.918	-228.399	-691.877	1015.157
3715	37.14000	-226.350	-731.266	973.665	-265.473	-668.166	974.685	-163.507	-684.016	985.819	-214.265	-626.065	987.105	-228.203	-691.428	1015.260
3716	37.15000	-226.200	-730.726	973.541	-265.407	-667.684	974.824	-163.323	-683.494	985.584	-214.212	-625.566	987.365	-228.431	-690.920	1015.500
3717	37.16000	-226.290	-730.258	973.471	-265.261	-667.255	975.025	-163.326	-683.050	985.631	-214.151	-625.102	987.768	-228.283	-690.590	1015.496
3718	37.17000	-226.323	-729.722	973.449	-265.110	-666.741	975.105	-163.426	-682.443	985.972	-213.741	-624.818	987.783	-227.911	-690.269	1015.313
3719	37.18000	-226.036	-729.300	973.632	-265.067	-666.250	975.369	-163.358	-681.916	986.202	-213.593	-624.152	987.761	-227.975	-689.459	1015.508
3720	37.19000	-225.894	-728.802	973.728	-264.994	-665.739	975.288	-163.134	-681.604	986.119	-213.773	-623.686	988.003	-227.735	-689.183	1015.621
3721	37.20000	-225.796	-728.297	973.621	-264.978	-665.135	975.630	-162.968	-681.049	986.114	-213.637	-623.341	988.462	-227.857	-688.922	1015.699
3722	37.21000	-225.825	-727.788	973.592	-264.780	-664.575	975.828	-162.871	-680.564	986.210	-213.363	-622.807	988.485	-227.756	-688.409	1015.769
3723	37.22000	-225.751	-727.258	973.910	-264.689	-663.999	975.806	-162.698	-680.232	986.319	-213.228	-622.245	988.450	-227.512	-687.887	1015.872
3724	37.23000	-225.801	-726.755	973.933	-264.897	-663.593	976.143	-162.575	-679.779	986.507	-212.938	-621.784	988.442	-227.359	-687.264	1015.877
3725	37.24000	-225.657	-726.266	973.980	-264.697	-663.153	976.290	-162.470	-679.255	986.615	-212.832	-621.274	988.494	-227.265	-686.855	1015.985
3726	37.25000	-225.478	-725.826	973.950	-264.574	-662.642	976.215	-162.285	-678.718	986.731	-212.791	-620.880	988.708	-227.040	-686.585	1016.012
3727	37.26000	-225.029	-725.335	973.855	-263.925	-661.951	976.230	-162.171	-678.237	987.023	-212.530	-620.382	988.777	-226.895	-686.056	1016.167
