NO_OF_FRAMES	1617
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-11, 15:26:18.257	1141584.09130630
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
810	8.09000	-16.58109	199.25746	1207.85495	-5.07997	3.55901	4.51076	0.59294	0.99498	0.07286	-0.06860	-0.07849	0.99342	-0.08341	0.06208	0.08838	0.99415	
811	8.10000	-13.80989	204.08086	1208.23304	-5.22949	3.45554	4.46022	0.60229	0.99516	0.07197	-0.06693	-0.07763	0.99325	-0.08620	0.06027	0.09098	0.99403	
812	8.11000	-10.98736	208.99548	1208.63428	-5.45958	3.33806	4.52431	0.62294	0.99519	0.07300	-0.06529	-0.07875	0.99280	-0.09027	0.05823	0.09498	0.99377	
813	8.12000	-8.16689	214.01768	1209.03955	-5.59262	3.29054	4.55953	0.60041	0.99519	0.07354	-0.06469	-0.07936	0.99253	-0.09261	0.05740	0.09729	0.99360	
814	8.13000	-5.27723	219.18328	1209.44144	-5.77282	3.20744	4.58403	0.60221	0.99524	0.07391	-0.06353	-0.07980	0.99220	-0.09581	0.05595	0.10043	0.99337	
815	8.14000	-2.39516	224.44497	1209.83212	-6.03566	3.07719	4.69103	0.61625	0.99521	0.07570	-0.06180	-0.08166	0.99159	-0.10043	0.05368	0.10500	0.99302	
816	8.15000	0.46318	229.86429	1210.23807	-6.26775	2.92883	4.70065	0.62009	0.99533	0.07590	-0.05957	-0.08184	0.99114	-0.10465	0.05110	0.10903	0.99272	
817	8.16000	3.33629	235.35681	1210.68310	-6.36158	2.90196	4.76987	0.61244	0.99526	0.07705	-0.05935	-0.08305	0.99087	-0.10623	0.05063	0.11066	0.99257	
818	8.17000	6.23338	240.95852	1211.08605	-6.60207	2.74996	4.85413	0.61883	0.99527	0.07856	-0.05722	-0.08452	0.99027	-0.11053	0.04798	0.11484	0.99222	
819	8.18000	9.12357	246.68969	1211.46698	-6.83531	2.62905	4.91340	0.60543	0.99528	0.07960	-0.05557	-0.08556	0.98971	-0.11468	0.04587	0.11889	0.99185	
