NO_OF_FRAMES	1863
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 11:28:35.207	1213728.58984590
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
3647	36.46000	-215.23801	-689.68385	988.24460	-0.31113	-0.45667	-8.01660	0.67575	0.99020	-0.13942	0.00865	0.13946	0.99022	-0.00427	-0.00797	0.00543	0.99995	
3648	36.47000	-215.23560	-689.97489	988.10708	-0.07784	-0.39062	-7.98520	0.64165	0.99028	-0.13891	0.00694	0.13891	0.99030	-0.00040	-0.00682	0.00136	0.99998	
3649	36.48000	-215.32493	-690.31567	988.09643	-0.04394	-0.34740	-7.95335	0.59970	0.99036	-0.13836	0.00611	0.13836	0.99038	0.00008	-0.00606	0.00077	0.99998	
3650	36.49000	-215.25374	-690.56273	988.01564	-0.09099	-0.24049	-7.96736	0.65376	0.99034	-0.13860	0.00438	0.13861	0.99035	-0.00099	-0.00420	0.00159	0.99999	
3651	36.50000	-215.27408	-690.90331	987.82158	-0.41631	-0.29347	-8.06233	0.66415	0.99010	-0.14021	0.00609	0.14025	0.99010	-0.00648	-0.00512	0.00727	0.99996	
3652	36.51000	-215.31118	-691.05738	987.74051	-0.58204	-0.27603	-8.09783	0.60891	0.99002	-0.14081	0.00620	0.14086	0.98998	-0.00938	-0.00482	0.01016	0.99994	
3653	36.52000	-215.28860	-691.28931	987.70863	-0.50366	-0.25387	-8.02062	0.62274	0.99021	-0.13949	0.00561	0.13953	0.99019	-0.00809	-0.00443	0.00879	0.99995	
3654	36.53000	-215.32288	-691.51477	987.62330	-0.52644	-0.27885	-7.93878	0.61546	0.99040	-0.13806	0.00609	0.13811	0.99038	-0.00843	-0.00487	0.00919	0.99995	
3655	36.54000	-215.39049	-691.79035	987.55719	-0.48343	-0.12883	-8.04333	0.59067	0.99016	-0.13990	0.00341	0.13992	0.99013	-0.00804	-0.00225	0.00844	0.99996	
3656	36.55000	-215.40012	-691.97507	987.49260	-0.54396	-0.06883	-8.04303	0.62819	0.99016	-0.13990	0.00252	0.13992	0.99012	-0.00923	-0.00120	0.00949	0.99995	
