NO_OF_FRAMES	6000
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 14:06:56.892	1223230.27508510
DATA_INCLUDED	3D
MARKER_NAMES	DroneElCapitan - 1	DroneElCapitan - 2	DroneElCapitan - 3	DroneElCapitan - 4	DroneElCapitan - 5
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	DroneElCapitan - 1 X	DroneElCapitan - 1 Y	DroneElCapitan - 1 Z	DroneElCapitan - 2 X	DroneElCapitan - 2 Y	DroneElCapitan - 2 Z	DroneElCapitan - 3 X	DroneElCapitan - 3 Y	DroneElCapitan - 3 Z	DroneElCapitan - 4 X	DroneElCapitan - 4 Y	DroneElCapitan - 4 Z	DroneElCapitan - 5 X	DroneElCapitan - 5 Y	DroneElCapitan - 5 Z	
81	0.80000	785.454	-377.484	68.031	37.669	467.715	67.490	810.690	402.540	73.941	743.254	-329.804	70.748	-5.778	-316.398	72.014
82	0.81000	785.487	-377.429	68.043	37.662	467.795	67.483	810.721	402.441	73.827	743.221	-329.714	70.786	-5.768	-316.384	72.011
83	0.82000	785.494	-377.396	68.117	37.672	467.881	67.533	810.707	402.453	73.897	743.249	-329.680	70.838	-5.777	-316.351	72.074
84	0.83000	785.453	-377.448	68.091	37.686	467.810	67.493	810.680	402.523	74.000	743.221	-329.697	70.796	-5.765	-316.358	72.048
85	0.84000	785.459	-377.439	68.071	37.665	467.799	67.474	810.673	402.523	73.971	743.214	-329.734	70.772	-5.784	-316.388	72.010
86	0.85000	785.474	-377.422	68.103	37.673	467.800	67.524	810.689	402.561	73.960	743.242	-329.729	70.782	-5.785	-316.355	72.041
87	0.86000	785.488	-377.394	68.085	37.698	467.809	67.546	810.714	402.493	73.953	743.232	-329.712	70.785	-5.755	-316.367	72.016
88	0.87000	785.492	-377.526	68.022	37.657	467.811	67.487	810.671	402.502	73.957	743.237	-329.746	70.745	-5.749	-316.404	72.024
89	0.88000	785.455	-377.442	68.011	37.678	467.776	67.483	810.670	402.555	73.922	743.227	-329.761	70.720	-5.785	-316.425	71.995
90	0.89000	785.471	-377.419	68.075	37.691	467.811	67.518	810.659	402.544	73.963	743.237	-329.726	70.796	-5.774	-316.362	72.020
91	0.90000	785.482	-377.428	68.075	37.642	467.837	67.517	810.720	402.589	73.998	743.242	-329.720	70.774	-5.755	-316.328	72.039
92	0.91000	785.474	-377.418	68.085	37.661	467.798	67.532	810.712	402.562	73.979	743.198	-329.709	70.769	-5.766	-316.352	72.003
93	0.92000	785.438	-377.496	68.026	37.696	467.822	67.516	810.679	402.541	73.919	743.206	-329.738	70.763	-5.757	-316.402	72.032
94	0.93000	785.436	-377.450	68.073	37.666	467.809	67.504	810.673	402.451	73.876	743.234	-329.726	70.784	-5.762	-316.332	72.036
95	0.94000	785.478	-377.428	68.057	37.666	467.803	67.493	810.698	402.551	73.924	743.262	-329.698	70.752	-5.763	-316.369	72.050
96	0.95000	785.474	-377.421	68.033	37.654	467.799	67.529	810.663	402.552	73.908	743.224	-329.699	70.789	-5.778	-316.390	71.980
97	0.96000	785.531	-377.396	68.110	37.675	467.781	67.555	810.735	402.453	73.869	743.222	-329.676	70.770	-5.764	-316.364	72.021
98	0.97000	785.519	-377.418	68.088	37.665	467.805	67.525	810.689	402.580	73.935	743.253	-329.773	70.780	-5.759	-316.365	72.039
99	0.98000	785.474	-377.446	68.083	37.662	467.801	67.528	810.696	402.507	73.959	743.218	-329.765	70.748	-5.768	-316.390	72.023
100	0.99000	785.448	-377.418	68.009	37.681	467.834	67.483	810.698	402.531	73.960	743.216	-329.729	70.739	-5.762	-316.365	72.010
101	1.00000	785.483	-377.399	68.084	37.660	467.835	67.557	810.685	402.572	73.972	743.256	-329.723	70.803	-5.773	-316.380	72.041
102	1.01000	785.489	-377.435	68.078	37.680	467.850	67.520	810.681	402.565	73.984	743.251	-329.703	70.811	-5.777	-316.317	72.006
103	1.02000	785.473	-377.391	68.019	37.687	467.780	67.480	810.688	402.489	73.944	743.258	-329.728	70.760	-5.782	-316.363	71.984
104	1.03000	785.472	-377.430	68.032	37.660	467.821	67.479	810.743	402.474	73.869	743.223	-329.776	70.732	-5.760	-316.360	72.012
105	1.04000	785.499	-377.457	68.063	37.683	467.835	67.522	810.745	402.438	73.877	743.252	-329.719	70.755	-5.761	-316.340	72.024
106	1.05000	785.468	-377.456	68.044	37.677	467.817	67.516	810.757	402.441	73.866	743.238	-329.708	70.783	-5.795	-316.385	72.007
107	1.06000	785.460	-377.409	68.064	37.686	467.800	67.507	810.696	402.505	73.978	743.224	-329.734	70.770	-5.787	-316.379	72.032
108	1.07000	785.508	-377.424	68.094	37.675	467.843	67.532	810.681	402.542	73.979	743.214	-329.700	70.779	-5.769	-316.353	72.005
109	1.08000	785.482	-377.394	68.095	37.682	467.812	67.538	810.683	402.569	73.990	743.231	-329.696	70.772	-5.773	-316.355	72.042
110	1.09000	785.437	-377.470	68.034	37.686	467.774	67.439	810.688	402.494	73.926	743.241	-329.760	70.731	-5.772	-316.396	71.977
111	1.10000	785.445	-377.485	67.971	37.648	467.756	67.432	810.686	402.526	73.875	743.217	-329.769	70.733	-5.783	-316.438	71.956
112	1.11000	785.509	-377.386	68.074	37.673	467.800	67.542	810.700	402.502	73.968	743.211	-329.686	70.814	-5.769	-316.362	72.025
113	1.12000	785.478	-377.398	68.077	37.670	467.806	67.564	810.695	402.543	73.996	743.202	-329.708	70.804	-5.751	-316.329	72.069
114	1.13000	785.467	-377.451	68.057	37.668	467.847	67.568	810.690	402.568	73.951	743.227	-329.699	70.747	-5.762	-316.353	72.045
115	1.14000	785.500	-377.433	68.008	37.669	467.799	67.474	810.681	402.558	73.949	743.191	-329.738	70.756	-5.778	-316.343	71.963
116	1.15000	785.493	-377.411	68.107	37.645	467.898	67.497	810.658	402.587	73.994	743.238	-329.697	70.778	-5.769	-316.314	72.004
117	1.16000	785.502	-377.453	68.062	37.638	467.764	67.516	810.729	402.442	73.866	743.238	-329.779	70.717	-5.765	-316.385	71.994
118	1.17000	785.453	-377.483	68.072	37.684	467.816	67.494	810.691	402.504	73.940	743.237	-329.723	70.731	-5.779	-316.402	71.991
119	1.18000	785.477	-377.434	68.094	37.678	467.784	67.549	810.670	402.555	73.938	743.233	-329.733	70.774	-5.751	-316.360	72.033
120	1.19000	785.465	-377.441	68.082	37.671	467.791	67.522	810.672	402.565	73.958	743.244	-329.714	70.768	-5.777	-316.352	72.032
121	1.20000	785.473	-377.462	68.046	37.686	467.799	67.523	810.727	402.547	73.949	743.232	-329.739	70.768	-5.771	-316.386	72.016
122	1.21000	785.475	-377.467	68.011	37.676	467.787	67.460	810.679	402.540	73.922	743.242	-329.747	70.779	-5.771	-316.367	71.967
123	1.22000	785.485	-377.347	68.077	37.671	467.797	67.558	810.675	402.586	74.017	743.231	-329.680	70.797	-5.767	-316.381	72.042
124	1.23000	785.486	-377.397	68.096	37.659	467.869	67.537	810.741	402.466	73.886	743.249	-329.700	70.815	-5.766	-316.365	72.081
125	1.24000	785.503	-377.367	68.042	37.687	467.789	67.517	810.670	402.536	74.004	743.216	-329.698	70.789	-5.761	-316.375	72.021
126	1.25000	785.451	-377.451	68.025	37.642	467.799	67.480	810.680	402.548	73.933	743.210	-329.744	70.782	-5.781	-316.362	71.984
127	1.26000	785.458	-377.488	68.033	37.674	467.819	67.504	810.692	402.528	73.921	743.224	-329.762	70.734	-5.785	-316.402	72.017
